2026-06-03 03:38:59 | session | default_trace_id | INFO | {"event_id": "088f24a2-9864-4408-9f73-11b92d835956", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-06-03T03:38:59.269329+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "058dae4376a8456eb8eba06504871117"}
2026-06-03 03:38:59 | session | default_trace_id | INFO | {"event_id": "7d80c454-4182-4ccf-8eae-e99c16f14563", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-06-03T03:38:59.269526+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "058dae4376a8456eb8eba06504871117"}
2026-06-03 03:38:59 | session | default_trace_id | INFO | {"event_id": "6d976e99-39c6-4c5c-9111-e8e92e350977", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-06-03T03:38:59.269615+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "058dae4376a8456eb8eba06504871117"}
2026-06-03 03:39:02 | session | default_trace_id | INFO | {"event_id": "fe013c1d-d9dd-4e70-a7f8-de4c304472e4", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-06-03T03:39:02.768258+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "058dae4376a8456eb8eba06504871117"}
2026-06-03 03:39:02 | session | default_trace_id | INFO | {"event_id": "db37fc4b-4f7f-4787-9838-16c6b9e368b8", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-06-03T03:39:02.769025+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "058dae4376a8456eb8eba06504871117"}
2026-06-03 03:40:25 | session | default_trace_id | INFO | {"event_id": "66eeb17b-ab47-462a-a25b-92e21f36c6df", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-06-03T03:40:25.252702+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Create a new agent checkpointer store before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "a5b81da4bfe549668d2f6f733dddb594"}
2026-06-03 03:40:25 | session | default_trace_id | INFO | {"event_id": "c3c527ff-2bc5-4ce1-bfeb-662e4f0d7907", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-06-03T03:40:25.252874+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "a5b81da4bfe549668d2f6f733dddb594"}
2026-06-03 03:40:25 | session | default_trace_id | INFO | {"event_id": "5f4c169f-87ae-4dc1-8267-a72c93a5b2a9", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-06-03T03:40:25.252955+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "a5b81da4bfe549668d2f6f733dddb594"}
2026-06-03 03:40:55 | session | default_trace_id | INFO | {"event_id": "33f980c0-98c9-44a3-9a91-c46d0ba804a7", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-06-03T03:40:55.952875+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "a5b81da4bfe549668d2f6f733dddb594"}
2026-06-03 03:40:55 | session | default_trace_id | INFO | {"event_id": "3c7b5f39-c955-4e65-aeda-842cdab3e435", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-06-03T03:40:55.953442+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "default_session", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "a5b81da4bfe549668d2f6f733dddb594"}
